City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
4,Kirakira,SB,79.93,light rain,-10.45,161.92,SanBiz Lodge
11,Ponta Do Sol,PT,75.2,broken clouds,32.67,-17.1,Hotel do Campo
13,Atuona,PF,78.46,light rain,-9.8,-139.03,Villa Enata
16,Half Moon Bay,US,75.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
19,Sikeston,US,80.6,clear sky,36.88,-89.59,Holiday Inn Express & Suites Sikeston
22,Puerto Ayora,EC,75.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
23,Surt,LY,79.16,clear sky,31.21,16.59,City Hotel
24,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
29,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
38,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
42,Hobyo,SO,76.98,overcast clouds,5.35,48.53,Osmani Hotel
49,Nador,MA,77.0,scattered clouds,35.17,-2.93,Hôtel La Giralda
57,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
60,Albany,US,75.0,clear sky,42.6,-73.97,
62,Muroto,JP,80.2,broken clouds,33.28,134.15,Oota Ryokan
63,Resplendor,BR,78.96,clear sky,-19.33,-41.26,Pousada Bixu de Pé
67,Santa Cruz,BO,87.8,scattered clouds,-17.8,-63.17,Hotel Cortez
69,Kavieng,PG,82.65,light rain,-2.57,150.8,Nusa Island Retreat
71,Eyl,SO,75.78,broken clouds,7.98,49.82,Amiin Hotel
74,Evansville,US,80.6,clear sky,37.97,-87.56,Le Merigot Hotel
80,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
83,Butaritari,KI,82.58,scattered clouds,3.07,172.79,Isles Sunset Lodge
85,Bethel,US,84.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
86,Babu,CN,75.58,clear sky,24.42,111.52,IU Hotel Hezhou Bus Terminal
95,Kathu,TH,84.0,few clouds,7.92,98.33,Novotel Phuket Resort
98,Vanimo,PG,78.39,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
100,Dingle,PH,76.91,broken clouds,11.0,122.67,Camp Pasica
106,Shimoda,JP,79.0,scattered clouds,34.67,138.95,Shimoda Tokyu Hotel
