City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Taltal,CL,-25.4,-70.48,59.85,68,22,5.68,few clouds
1,Torbay,CA,47.67,-52.73,69.8,77,40,17.22,scattered clouds
2,Mahebourg,MU,-20.41,57.7,69.8,73,75,12.75,broken clouds
3,Nouadhibou,MR,20.93,-17.03,77.0,83,0,14.99,clear sky
4,Kirakira,SB,-10.45,161.92,79.93,81,31,10.67,light rain
5,Zhigansk,RU,66.77,123.37,45.82,85,51,4.72,broken clouds
6,Jamestown,US,42.1,-79.24,66.99,52,20,13.87,few clouds
7,Busselton,AU,-33.65,115.33,57.99,90,46,11.14,scattered clouds
8,Sorland,NO,67.67,12.69,55.4,93,75,4.7,shower rain
9,Cape Town,ZA,-33.93,18.42,60.01,87,20,8.05,few clouds
10,Hobart,AU,-42.88,147.33,50.0,70,40,8.05,scattered clouds
11,Ponta Do Sol,PT,32.67,-17.1,75.2,73,75,2.24,broken clouds
12,Pershotravneve,UA,51.39,28.87,55.8,89,0,4.27,clear sky
13,Atuona,PF,-9.8,-139.03,78.46,78,29,24.67,light rain
14,Evensk,RU,61.95,159.23,47.37,53,0,3.91,clear sky
15,Rikitea,PF,-23.12,-134.97,72.05,82,25,12.19,scattered clouds
16,Half Moon Bay,US,37.46,-122.43,75.0,77,1,13.87,clear sky
17,Gao,ML,16.64,1.64,91.24,42,79,2.98,light rain
18,Bluff,NZ,-46.6,168.33,45.0,72,1,11.01,clear sky
19,Sikeston,US,36.88,-89.59,80.6,47,1,3.36,clear sky
20,Punta Arenas,CL,-53.15,-70.92,42.8,87,75,9.17,broken clouds
21,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,28.86,clear sky
22,Puerto Ayora,EC,-0.74,-90.35,75.2,64,20,19.46,few clouds
23,Surt,LY,31.21,16.59,79.16,81,0,12.53,clear sky
24,Avarua,CK,-21.21,-159.78,78.8,88,0,8.05,light rain
25,Sitka,US,57.05,-135.33,57.2,82,75,4.7,broken clouds
26,Hereford,GB,52.06,-2.71,55.0,83,37,8.61,scattered clouds
27,Inongo,CD,-1.95,18.27,73.85,67,1,3.74,clear sky
28,Pevek,RU,69.7,170.31,35.51,85,87,3.38,overcast clouds
29,Hilo,US,19.73,-155.09,84.2,54,1,8.05,clear sky
30,The Pas,CA,53.83,-101.25,60.8,41,1,16.11,clear sky
31,Isangel,VU,-19.55,169.27,68.0,72,90,5.82,overcast clouds
32,Lebu,CL,-37.62,-73.65,50.9,64,89,6.29,overcast clouds
33,Mataura,NZ,-46.19,168.86,45.0,72,0,11.01,clear sky
34,Kununurra,AU,-15.77,128.73,73.4,80,0,5.82,clear sky
35,Berlevag,NO,70.86,29.09,59.0,82,100,11.41,overcast clouds
36,Hofn,IS,64.25,-15.21,47.25,61,43,17.22,scattered clouds
37,Hermanus,ZA,-34.42,19.23,55.0,82,1,4.0,clear sky
38,Arraial Do Cabo,BR,-22.97,-42.03,82.4,65,0,10.29,clear sky
39,Saint-Philippe,RE,-21.36,55.77,64.4,88,75,8.05,broken clouds
40,Barrow,US,71.29,-156.79,39.2,93,90,4.7,mist
41,Tasiilaq,GL,65.61,-37.64,42.8,60,75,11.41,broken clouds
42,Hobyo,SO,5.35,48.53,76.98,79,98,27.4,overcast clouds
43,Fairhope,US,30.52,-87.9,93.0,66,1,4.7,clear sky
44,Vaini,TO,-21.2,-175.2,71.6,68,20,11.41,few clouds
45,Egvekinot,RU,66.32,-179.17,38.55,74,14,3.11,few clouds
46,Castro,BR,-24.79,-50.01,69.64,64,20,5.1,few clouds
47,Henties Bay,NA,-22.12,14.28,55.99,86,1,8.23,clear sky
48,Lavrentiya,RU,65.58,-171.0,41.5,76,100,3.2,overcast clouds
49,Nador,MA,35.17,-2.93,77.0,78,40,6.93,scattered clouds
50,Yellowknife,CA,62.46,-114.35,55.0,46,20,6.85,few clouds
51,Nanortalik,GL,60.14,-45.24,45.27,87,100,15.5,overcast clouds
52,Nizhniy Kuranakh,RU,58.84,125.49,49.3,91,95,2.71,overcast clouds
53,Klaksvik,FO,62.23,-6.59,48.2,93,100,24.16,light rain
54,Whitehorse,CA,60.72,-135.05,54.0,50,75,4.7,broken clouds
55,Fairbanks,US,64.84,-147.72,50.0,87,90,11.41,overcast clouds
56,Geraldton,AU,-28.77,114.6,44.6,93,0,5.82,clear sky
57,Kapaa,US,22.08,-159.32,78.8,88,90,6.93,overcast clouds
58,Ushuaia,AR,-54.8,-68.3,41.0,75,75,3.36,broken clouds
59,Pisco,PE,-13.7,-76.22,63.0,72,4,9.17,clear sky
60,Albany,US,42.6,-73.97,75.0,35,0,1.99,clear sky
61,Longyearbyen,SJ,78.22,15.64,44.6,93,75,3.36,light rain
62,Muroto,JP,33.28,134.15,80.2,79,60,9.55,broken clouds
63,Resplendor,BR,-19.33,-41.26,78.96,37,0,4.43,clear sky
64,Mitla,MX,16.92,-96.4,66.2,82,90,3.36,light rain
65,Jalingo,NG,8.88,11.37,74.1,90,100,5.28,light rain
66,Tiksi,RU,71.69,128.87,45.88,85,83,6.04,broken clouds
67,Santa Cruz,BO,-17.8,-63.17,87.8,43,30,13.87,scattered clouds
68,Saint-Francois,FR,46.42,3.91,70.0,60,0,3.36,clear sky
69,Kavieng,PG,-2.57,150.8,82.65,75,100,8.52,light rain
70,Cherskiy,RU,68.75,161.3,40.59,69,16,5.88,few clouds
71,Eyl,SO,7.98,49.82,75.78,81,77,21.05,broken clouds
72,Kintampo,GH,8.06,-1.73,73.06,91,2,4.29,light rain
73,Warrnambool,AU,-38.38,142.48,46.0,94,0,1.01,clear sky
74,Evansville,US,37.97,-87.56,80.6,32,1,6.93,clear sky
75,Pangnirtung,CA,66.15,-65.71,46.4,70,20,8.05,few clouds
76,Kargasok,RU,59.06,80.86,45.73,96,100,9.84,light rain
77,Mar Del Plata,AR,-38.0,-57.56,60.8,66,40,9.17,scattered clouds
78,Nikolskoye,RU,59.7,30.79,59.0,87,93,3.87,overcast clouds
79,Kruisfontein,ZA,-34.0,24.73,66.99,32,0,5.99,clear sky
80,Miri,MY,4.41,114.01,77.0,100,40,3.69,scattered clouds
81,New Norfolk,AU,-42.78,147.06,50.0,72,52,2.68,broken clouds
82,Bredasdorp,ZA,-34.53,20.04,51.8,81,0,3.36,clear sky
83,Butaritari,KI,3.07,172.79,82.58,73,30,7.85,scattered clouds
84,Saint George,US,37.1,-113.58,98.6,8,1,5.82,clear sky
85,Bethel,US,41.37,-73.41,84.0,39,20,9.17,few clouds
86,Babu,CN,24.42,111.52,75.58,86,1,1.97,clear sky
87,Saint-Augustin,CA,51.23,-58.65,65.23,83,49,17.22,scattered clouds
